2021/01/17 01:40:51 [notice] 9340#1696: signal process started
2021/01/17 12:52:00 [error] 15076#11020: *103 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:01 [error] 15076#11020: *104 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:01 [error] 15076#11020: *105 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:01 [error] 15076#11020: *106 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:07 [error] 15076#11020: *107 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:07 [error] 15076#11020: *108 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:07 [error] 15076#11020: *109 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:29 [error] 15076#11020: *110 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:31 [error] 15076#11020: *110 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:37 [error] 15076#11020: *113 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:37 [error] 15076#11020: *114 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:37 [error] 15076#11020: *115 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:53:39 [error] 15076#11020: *118 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:53:39 [error] 15076#11020: *118 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:53:39 [error] 15076#11020: *116 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:53:39 [error] 15076#11020: *116 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:53:39 [error] 15076#11020: *120 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 13:02:30 [notice] 14456#14452: signal process started
2021/01/17 13:10:06 [error] 15076#11020: *199 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/20 21:48:54 [error] 14424#7604: *13 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/20 21:48:54 [error] 14424#7604: *15 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
